institution_id,institution_name,deglevl_code,deglevl,degcip_4dig,ciptitle,grad_cohort,grad_cohort_label,year_postgrad,p25_earnings,p50_earnings,p75_earnings,cellcount,state
1345,ADAMS STATE COLLEGE,3,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2005,1,17794,25774,32213,46,CO
1345,ADAMS STATE COLLEGE,3,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2005,5,27763,36398,51928,79,CO
1345,ADAMS STATE COLLEGE,3,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2005,10,31012,43798,64121,85,CO
1345,ADAMS STATE COLLEGE,3,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2006,2006-2010,1,15288,22094,31857,40,CO
1345,ADAMS STATE COLLEGE,3,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2006,2006-2010,5,22329,31236,44914,68,CO
1345,ADAMS STATE COLLEGE,3,Associates,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2011,2011-2015,1,14923,20225,26616,133,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,2001-2003,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,2001-2003,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,2001-2003,10,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,2004-2006,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,2004-2006,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,2004-2006,10,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2007,2007-2009,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2007,2007-2009,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2010,2010-2012,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,1609,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2013,2013-2015,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,2001-2003,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,2001-2003,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,2001-2003,10,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,2004-2006,1,17745,21280,26817,31,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,2004-2006,5,30771,40449,45696,34,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,2004-2006,10,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2007,2007-2009,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2007,2007-2009,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2010,2010-2012,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2301,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2013,2013-2015,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,2004-2006,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,2004-2006,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,2004-2006,10,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2007,2007-2009,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2007,2007-2009,5,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2010,2010-2012,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2313,RHETORIC AND COMPOSITION/WRITING STUDIES,2013,2013-2015,1,NA,NA,NA,NA,CO
1345,ADAMS STATE COLLEGE,5,Baccalaureate,2401,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,2001-2003,1,20596,30142,38883,105,CO
