institution_id,institution_name,ciptitle,grad_cohort,year_postgrad,earnings
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,1,17794
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,5,27763
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,10,31012
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2006,1,15288
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2006,5,22329
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2011,1,14923
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,1,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,5,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2001,10,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,1,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,5,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2004,10,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2007,1,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2007,5,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2010,1,NA
1345,ADAMS STATE COLLEGE,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS",2013,1,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,1,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,5,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2001,10,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,1,17745
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,5,30771
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2004,10,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2007,1,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2007,5,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2010,1,NA
1345,ADAMS STATE COLLEGE,"ENGLISH LANGUAGE AND LITERATURE, GENERAL",2013,1,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,1,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,5,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2004,10,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2007,1,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2007,5,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2010,1,NA
1345,ADAMS STATE COLLEGE,RHETORIC AND COMPOSITION/WRITING STUDIES,2013,1,NA
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,1,20596
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,5,29805
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2001,10,30771
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2004,1,20316
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2004,5,26601
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2004,10,29866
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2007,1,22503
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2007,5,28222
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2010,1,20802
1345,ADAMS STATE COLLEGE,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES",2013,1,21166
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2001,1,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2001,5,30228
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2001,10,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2004,1,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2004,5,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2004,10,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2007,1,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2007,5,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2010,1,NA
1345,ADAMS STATE COLLEGE,"BIOLOGY, GENERAL",2013,1,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2001,1,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2001,5,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2001,10,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2004,1,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2004,5,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2004,10,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2007,1,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2007,5,NA
1345,ADAMS STATE COLLEGE,MATHEMATICS,2010,1,NA
